DISTRICT,IN_TEST,DATE,_1_1,_10_13,_16_1,_16_2_1,_16_2_2,_16_3_1,_16_3_2,_16_3_3,_16_3_4,_16_3_5,_16_7_3,_4_4_2,_4_4_3,_9_1_10,_9_1_11,_9_1_12,_9_1_14,_9_1_15,_9_1_16,_9_1_2,_9_1_3,_9_1_4,_9_1_5,_9_1_6,_9_1_7,_9_1_8,_9_1_9,_9_3_2,_9_4_2,_9_4_4,_9_7_1,_9_7_2,_9_7_3
Sheikhpura,No,Y201801,1314,0,0,0,0,0,0,0,0,0,0,121,1170,1687,1703,1641,0,0,0,1455,0,7,3,1688,1704,1641,1055,11,1300,1300,754,750,649
Sheikhpura,No,Y201802,1692,0,0,0,0,0,0,0,0,0,0,68,1075,1547,1843,1790,0,0,0,1334,2,8,4,1546,1836,1786,950,21,1406,1406,746,746,644
Sheikhpura,No,Y201803,1836,0,4,0,0,0,0,0,0,0,0,72,952,1413,1472,1604,0,0,0,1122,0,0,0,1413,1473,1604,826,23,1400,1400,699,699,620
Sheikhpura,No,Y201804,1666,0,0,0,0,0,0,0,0,0,0,75,924,1262,1393,1459,0,0,0,1018,1,0,0,1262,1394,1459,760,2,1362,1362,700,697,622
Sheikhpura,No,Y201805,1647,0,1,0,0,0,0,0,0,2,0,72,954,1094,1443,1456,0,0,0,1065,1,1,0,1093,1442,1457,803,2,1284,1282,704,703,624
Sheikhpura,No,Y201806,1890,0,3,0,0,0,0,0,0,0,0,102,914,1245,1239,1427,0,0,0,1053,1,0,1,1244,1239,1426,771,13,1419,1425,691,691,624
Sheikhpura,No,Y201807,2440,0,3,0,1,0,0,0,0,1,0,137,1226,1577,1478,1502,0,0,0,1554,0,1,0,1577,1478,1502,1055,32,1671,1668,803,803,681
Sheikhpura,No,Y201808,1470,0,5,0,0,0,0,0,0,1,0,141,1546,1203,1469,1382,0,0,0,1673,0,0,0,1203,1469,1382,1273,8,1145,1145,806,805,677
Sheikhpura,No,Y201809,1604,0,13,0,0,0,0,0,0,1,0,146,1664,1370,1220,1375,0,0,0,1798,0,0,0,1376,1223,1384,1315,7,1151,1149,816,812,686
Sheikhpura,No,Y201810,1250,0,1,0,0,0,0,0,0,0,0,137,1601,1381,1235,1043,0,0,0,1720,0,0,0,1381,1235,1043,1360,4,1065,1065,692,692,613
Sheikhpura,No,Y201811,1126,0,1,0,1,0,0,0,0,0,0,141,1538,1558,1305,1159,0,0,0,1687,0,0,0,1558,1305,1159,1362,25,653,974,704,703,611
Sheikhpura,No,Y201812,720,0,0,0,0,0,0,0,0,0,0,77,987,855,787,625,0,0,0,1071,0,0,0,855,787,625,910,42,147,365,705,698,254
Sheikhpura,No,Y201901,1235,0,1,0,0,1,0,0,0,2,0,101,1278,1675,1294,1123,0,0,0,1544,24,20,0,1661,1278,1122,1235,24,153,948,704,699,568
Sheikhpura,No,Y201902,1725,0,0,0,0,0,0,0,0,3,0,75,1012,1754,1808,1398,0,0,0,1367,0,0,0,1754,1808,1398,962,0,125,1564,705,701,610
Sheohar,Yes,Y200804,52,,,,,,,,,,,25,,980,1329,1205,,,,1121,1165,1319,1225,,,,,772,,672,,,
Sheohar,Yes,Y200805,99,,,,,,,,,,,30,,1100,1230,1228,,,,1094,1130,1235,1251,,,,,924,,784,,,
Sheohar,Yes,Y200806,377,,,,,,,,,,,,,585,401,407,,,,1012,502,553,526,,,,,1096,,378,,,
Sheohar,Yes,Y200807,512,,,,,,,,,,,183,,754,558,595,,,,686,604,508,550,,,,,879,,308,,,
Sheohar,Yes,Y200808,429,,,,,,,,,,,209,,219,218,139,,,,980,17,7,5,,,,,1043,,18,,,
Sheohar,Yes,Y200809,312,,,,,,,,,,,284,,335,166,118,,,,816,,,,,,,,,,23,,,
Sheohar,Yes,Y200810,182,,,,,,,,,,,339,,1181,552,557,,,,1769,1691,695,578,,,,950,862,,311,,,
Sheohar,Yes,Y200811,54,15,,,,,,,,,,238,,1186,802,467,,,,1180,1442,1005,704,,,,506,309,,443,,,
Sheohar,Yes,Y200812,314,6,,,,,,,,,,217,330,1455,1312,951,,,,1453,1519,1341,1001,,,,720,405,,662,,,5
Sheohar,Yes,Y200901,110,3,,,,,,,,,,29,64,133,159,127,,,,149,139,163,127,,,,34,110,,75,,,
Sheohar,Yes,Y200902,163,2,,,,,,,,,,82,148,1384,1032,843,,,,1342,1323,1140,895,,,,342,714,,594,,,
Sheohar,Yes,Y200903,344,,,,,,,,,,,87,85,,,,,,,,,,,,,,,,,,,,
Sheohar,Yes,Y200904,260,,,,,,,,,,,25,23,1270,1318,1296,,,,1242,1263,1365,1355,,,,538,652,,837,18,18,18
Sheohar,Yes,Y200905,201,13,5,,,,,,,,,90,166,785,851,848,,,,1000,882,1564,980,,,,353,,,511,,,163
Sheohar,Yes,Y200906,236,13,,,,,,,,,,84,154,872,888,891,,,,969,895,1306,1145,,,,324,869,,610,8,8,5
Sheohar,Yes,Y200907,367,,9,,,,,,,,1,109,9,1061,1080,1015,,,,955,1137,1130,1081,,,,406,,,640,9,9,8
Sheohar,Yes,Y200908,688,,,,,,,,,,,5,9,1180,1046,972,,,,1376,1230,1135,1026,,,,728,1267,,481,24,24,24
Sheohar,Yes,Y200909,218,,,,,,,,,,,220,415,943,819,708,,,,1161,1080,977,898,,,,682,765,,598,32,32,32
Sheohar,Yes,Y200910,341,,,,,,,,,,,241,433,1331,1107,979,,,,2018,1385,1189,1114,,,,1212,693,,667,32,32,32
Sheohar,Yes,Y200911,273,,,,,,,,,,,202,345,1660,1198,841,,,,1813,1704,1241,881,,,,1058,911,,680,32,32,32
Sheohar,Yes,Y200912,423,,,,,,,,,,,154,225,1556,1325,1019,,,,1503,1615,1381,1075,,,,954,762,,647,16,24,24
Sheohar,Yes,Y201001,272,,,,,,,,,,,146,219,623,722,578,,,,1047,1256,1207,964,,,,430,661,,267,31,30,31
Sheohar,Yes,Y201002,308,5,,,,,,,,,,119,221,794,804,673,,,,1177,1229,1107,927,,,,564,714,,314,28,28,28
Sheohar,Yes,Y201003,262,16,,,,,,,,,,176,235,1402,1421,1251,,,,1220,1460,1504,1327,,,,789,863,,831,32,32,32
Sheohar,Yes,Y201004,393,5,1,,,,,,,,,220,268,973,1079,918,,,,1100,1209,1342,1133,,,,556,797,,693,32,32,32
Sheohar,Yes,Y201005,357,10,2,,,,,,,,,257,350,1024,1072,934,,,,1279,1225,1324,1127,,,,744,771,,616,28,28,
Sheohar,Yes,Y201006,565,,,,,,,,,,,210,39,1027,1124,972,,,,1018,1181,1261,1044,,,,624,965,,509,40,38,30
Sheohar,Yes,Y201007,477,,,,,,,,,,,55,55,1027,1033,958,,,,1179,1155,1296,1061,,,,695,1094,,764,29,27,27
Sheohar,Yes,Y201008,486,,3,,,,,,,,,2,94,602,611,552,,,,1140,973,1560,834,,,,635,799,,627,35,35,35
Sheohar,Yes,Y201009,705,,,,,,,,,,,,86,664,586,485,,,,1162,1089,1039,929,,,,707,966,,261,35,35,35
Sheohar,Yes,Y201010,1087,20,,,,,,,,,,,,1143,935,765,,,,1866,1571,1310,1097,,,,1137,1265,,518,40,35,35
Sheohar,Yes,Y201011,716,,,,,,,,,,,29,108,1125,818,1155,,,,1763,1640,1295,1551,,,,953,1093,,422,35,35,35
Sheohar,Yes,Y201012,527,,,,,,,,,,,,63,1615,1364,1586,,,,1936,1999,1763,1753,,,,1185,1092,,598,41,41,36
Sheohar,Yes,Y201101,491,21,,,,,,,,,,34,339,1391,1550,1657,,,,1547,1385,1584,1780,,,,1541,976,,98,8,8,8
Sheohar,Yes,Y201102,654,,,,,,,,,,,30,422,1528,1298,1370,,,,1346,1598,1324,1230,,,,1346,1044,,465,8,8,8
Sheohar,Yes,Y201103,1369,,,,,,,,,,,,81,629,664,984,,,,1509,1247,1428,1211,,,,485,946,,415,38,38,38
Sheohar,Yes,Y201104,849,,,,,,,,,,,85,,1030,1084,756,,,,1357,1084,1115,1105,,,,1242,961,,211,102,35,35
Sheohar,Yes,Y201105,1611,,,,,,,,,,,,62,433,527,163,,,,1090,1148,1420,1510,,,,310,1000,,234,704,601,147
Sheohar,Yes,Y201106,1371,,,,,,,,,,,108,436,915,834,973,,,,1351,1097,1279,1340,,,,697,1254,,470,661,557,485
Sheohar,Yes,Y201107,477,,,,,,,,,,,55,55,1027,1033,958,,,,1179,1155,1296,1061,,,,695,1094,,764,29,27,27
Sheohar,Yes,Y201108,2047,,,,,,,,,,,20,256,488,454,500,,,,1518,879,793,791,,,,359,1127,,329,685,495,315
Sheohar,Yes,Y201109,1859,,,,,,,,,,,175,811,289,246,220,,,,1349,997,1035,732,,,,115,903,,121,677,661,201
Sheohar,Yes,Y201110,1776,,,,,,,,,,,174,862,637,483,478,117,36,24,1470,1588,1163,987,,,,778,977,,372,829,721,504
Sheohar,Yes,Y201111,1314,,3,,,,,,,,,135,776,709,555,381,338,25,17,1222,1573,1276,917,,,,557,870,,334,870,754,545
Sheohar,Yes,Y201112,737,,1,1,,,,,,1,,136,676,834,806,1053,581,161,138,1644,1297,1303,1401,,,,985,840,,347,687,597,397
Sheohar,Yes,Y201201,1007,,,,,,,,,,,74,594,403,317,258,1389,611,411,791,1805,1475,1228,,,,112,923,149,193,650,588,444
Sheohar,Yes,Y201202,1252,,,,,,,,,,,67,548,342,434,330,915,686,420,813,678,757,564,,,,381,833,,203,637,576,368
Sheohar,Yes,Y201203,1462,,,,,,,,,,,65,535,690,659,585,1043,764,588,1215,1170,1108,887,,,,670,930,121,360,817,732,550
Sheohar,Yes,Y201204,1434,,,,,,,,,,,108,623,682,621,622,1115,682,713,856,1316,1128,1034,,,,614,864,,469,832,730,604
Sheohar,Yes,Y201205,1867,5,,,,,,,,,3,111,550,627,580,553,1348,1030,810,1204,1316,1315,1134,,,,365,902,,497,826,791,495
Sheohar,Yes,Y201206,1675,,,,,,,,,,6,94,517,178,208,202,713,684,598,974,1002,1070,944,,,,148,691,10,87,863,724,488
Sheohar,Yes,Y201207,1722,,,,,,,,,1,2,158,656,720,696,722,715,660,621,1102,1188,1090,1110,,,,587,960,40,532,844,806,583
Sheohar,Yes,Y201208,1523,,2,,,,,,,,5,153,921,914,859,856,981,863,768,896,1103,1051,1026,,,,665,993,27,692,901,818,581
Sheohar,Yes,Y201209,1411,5,1,,,,,,,2,6,139,1051,1205,1069,997,1285,1036,924,1785,1255,1174,1158,,,,1406,1018,,694,938,834,657
Sheohar,Yes,Y201210,1027,,1,,,,,,,,3,140,991,1222,828,831,1299,920,858,1575,1392,988,951,,,,1280,876,6,528,937,876,622
Sheohar,Yes,Y201211,846,,,,,,,,,,1,161,970,885,693,565,1134,838,632,1092,1174,900,689,,,,847,644,,397,876,738,577
Sheohar,Yes,Y201212,759,,,,,,,5,,,5,35,735,971,686,539,1321,965,664,970,1364,990,778,,,,384,129,,314,806,742,526
Sheohar,Yes,Y201301,908,,,,,,,,,1,7,11,1029,1242,982,764,1521,1243,917,1103,1697,1384,1035,,,,675,713,,557,862,824,584
Sheohar,Yes,Y201302,893,,,,,,,,,,11,126,908,1157,974,754,718,627,495,734,1319,1142,895,,,,573,697,14,503,857,673,523
